mode,metric,value
random,g2_err,0.042181077614246866
random,g2_err,0.046008517805722
random,g2_err,0.042181077614246866
random,g2_err,0.04335764037097423
random,g2_err,0.04335764037097423
random,g2_err,0.04969708730409455
random,g2_err,0.04335764037097423
random,g2_err,0.04610806235504609
random,g2_err,0.04404389307319145
random,g2_err,0.046695943303073514
random,g2_err,0.04969708730409455
random,g2_err,0.04335764037097423
random,g2_err,0.049443664924950725
random,g2_err,0.04969708730409455
random,g2_err,0.04969708730409455
random,g2_err,0.045920390059870655
random,g2_err,0.04335764037097423
random,g2_err,0.042181077614246866
random,g2_err,0.045754443747379886
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
heuristic,d_relerr,0.0032192017596676887
heuristic,d_relerr,0.020464643336732414
heuristic,d_relerr,0.08133537711619195
heuristic,d_relerr,0.0031009459040358717
heuristic,d_relerr,0.031446530654509516
heuristic,d_relerr,0.04030661309958902
heuristic,d_relerr,0.03691032390629816
heuristic,d_relerr,0.021443318828459578
heuristic,d_relerr,0.023773321611833327
heuristic,d_relerr,0.005779001424979395
heuristic,d_relerr,0.03653608091480262
heuristic,d_relerr,0.019914339079415377
heuristic,d_relerr,0.020835113675768582
heuristic,d_relerr,0.04052334480603817
heuristic,d_relerr,0.005496925265841876
heuristic,d_relerr,0.022104498442594017
heuristic,d_relerr,0.007940751763811009
heuristic,d_relerr,1.381892295237002
heuristic,d_relerr,0.036066733295826714
heuristic,d_relerr,0.028769513970514107
heuristic,d_relerr,0.03698253771902415
heuristic,d_relerr,0.02191580305372306
heuristic,d_relerr,0.01649456237176698
heuristic,d_relerr,0.013720489197427958
heuristic,d_relerr,0.017180342916855725
random,d_relerr,0.04342456161558832
random,d_relerr,0.5268132177149037
random,d_relerr,0.03742658197673645
random,d_relerr,0.11141709897525483
random,d_relerr,0.04099222978718016
random,d_relerr,0.477902226339731
random,d_relerr,1.381892295237002
random,d_relerr,0.03745724109349365
random,d_relerr,1.381892295237002
random,d_relerr,0.7743424891886469
random,d_relerr,0.7743424891886469
random,d_relerr,0.010188330560423923
random,d_relerr,0.7743424891886469
random,d_relerr,0.03695900873602092
random,d_relerr,0.46108528447201347
random,d_relerr,0.03518869128914582
random,d_relerr,0.010188330560423923
random,d_relerr,0.7743424891886469
random,d_relerr,0.007391725535344323
random,d_relerr,0.010188330560423923
random,d_relerr,0.010188330560423923
random,d_relerr,0.03970704666431138
